"%1$s incl tax.","%1$s incl impuestos."
"Action","Acción"
"Upload new product image ","Subir imagen nueva de producto "
"Up-sells","Ventas más altas"
"Url rewrie save problem.","Guardar problema de Url rewrie."
"Url Rewrite Management","Gestión de URLs Rescribibles"
"URL Rewrite Management","Gestión de URLs Rescribibles"
"Url","URL"
"Use categories path for product URLs","Usar ruta de acceso para las categorías de productos URL"
"Use Config Settings","Usar ajustes de configuración"
"Use Default Value","Utilizar el valor predeterminado"
"Used for sorting in product listing","Usado para ser sorteado en listado de productos"
"Used in product listing","Usado en Listado de Producto"
"Use Flat Catalog Category","Usar Catálogo Tipo Impreso de Categoría"
"Use Flat Catalog Product","Usar Catálogo Tipo Impreso de Producto"
"Use in advanced search","Utilizar en búsqueda avanzada"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Uso en capas de navegación<br/>(Puede ser utilizado sólo con el catálogo del tipo de entrada'Desplegable')"
"Use In Layered Navigation","Uso en capas de navegación"
"Use in quick search","Uso en búsqueda rápida"
"Use In Search Results Layered Navigation","Utilizar en navegación por capas en los resultados de búsqueda"
"Use JavaScript Calendar","Usar Calendario en JavaScript"
"Use To Create Configurable Product","Usar para crear producto configurable"
"Use Tree Like Category Sitemap","Usar Categoría de Mapa de Sitio Tipo Árbol"
"Values Required","Valores requeridos"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Producto Virtual"
"Visibility","Visibilidad"
"Visible on Catalog Pages on Front-end","Visibles en páginas de Catálogo en Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Visible","Visible"
"Watermark Default Size","Tamaño predeterminado de marca de agua"
"Watermark","Marca de Agua"
"Watermark Position","Posición de marca de agua"
"We Also Recommend","También Recomendamos"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Website","Sitio Web"
"Websites","Sitios web"
"Web Site Store Must be checked","Web Site Store Must be checked"
"(Will make search for the query above return results for this search.)","(Hará búsqueda para la consulta de los resultados obtenidos de esta búsqueda.)"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"Year Range","Rango en Años"
"Yes/No","Sí/No"
"Yes","Sí"
"You cannot delete this attribute","No se puede eliminar este atributo"
"You cannot edit this attribute","No se puede modificar este atributo"
"You cannot remove system attribute from this set.","No se puede eliminar el sistema de atributos de este arreglo."
"You cannot update this attribute","No se puede actualizar este atributo"
"You have no items to compare.","Usted no tiene artículos para comparar."
"You have no items to compare.","You have no items to compare."
"You may also be interested in the following product(s)","Puede que también este interesado en el (los) siguiente(s) producto(s)"
"Zoom In","Acercar"
"Zoom Out","Alejar"
